Joint,MAE,RMSE
0,0.6255640051168104,0.8753209562422913
1,5.38707827110059,35.84703866921577
2,0.2672086621757246,0.3731347983509606
3,0.8261828437791673,1.0971740512180446
4,4.189932050434719,30.19505281754166
5,0.27157573833828214,0.34579762814035
6,1.5148877758359893,2.2144350273237783
7,4.728795564605954,32.07938052419411
8,0.4356009828929921,0.5784495816948855
9,2.7465225575675274,3.3742352781213683
10,0.27764741748055505,0.34291116116463743
11,0.18083201225381346,0.2241420636427382
12,5.103004482170319,6.423680633056998
13,3.6766210213028296,27.89203848595932
14,43.502149136892,122.71090232183401
15,7.516240858596737,9.584732309713486
16,3.4356526098877276,16.651515932767953
17,31.657670206687182,102.00531355409343
18,3.4272446776377308,4.267126888844829
19,0.9838794417787132,1.3319647708320788
20,0.9647387701994844,1.2994447052142442
21,5.4829132031251735,7.1266296846742945
22,10.03411943613028,15.053709831690348
23,9.94482420444201,15.070401171142061
24,6.757017435373725,8.49454907541938
25,4.309504148057164,17.351175755951036
26,2.646497936385016,5.699787050073303
