Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-41.26392,115.0555,39.63729,41.91464,-2.166473,-6.220367,26.28643,-1.512817,-3.925629,65.19038,2.139497,1.876109,73.18864,-10.73117,-11.19846,69.57056,-9.782501,-9.912354,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.7843137,0.7294118,1
-42.45813,116.5491,39.21161,41.05093,-2.041656,-6.137665,25.47529,-1.451141,-3.898712,69.60818,2.05458,1.231729,79.26797,-17.26709,-17.55579,74.80459,-13.28693,-13.25238,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0.7529412,0.7921569,1
-49.28101,128.2732,35.59023,35.1355,-1.265564,-5.658234,20.0323,-1.056946,-3.746124,58.5081,2.050286,2.642606,63.73694,-6.546692,-7.292633,61.59993,-6.874268,-7.25769,77.22227,-4.023834,-3.630493,88.1208,-65.54736,-65.59698,81.28426,-171.9895,-171.6346,0.6196079,0.6078432,0.8980392
-50,130,35,13.34551,0.8983126,-4.753418,1.03595,0.1642524,-3.52002,36.35404,0.9790258,4.58255,32.03356,-2.016968,-3.798981,35.41221,-2.935303,-4.227997,42.33255,-0.1473694,0.5797886,47.43383,-1.676544,-2.51416,51.79618,-1.932526,-2.034363,0.05490196,0.2980392,0.4392157
-50,130,35,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,18.29372,0.3078856,2.147063,23.41275,-0.6544495,-1.892578,22.41782,-0.8018494,-1.343994,0,0,0.1333333
-48.87381,123.3294,37.01591,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,3.926001,0.235,3.187,10.77583,-0.3304138,-1.766632,6.441905,-0.3800354,-1.260681,0,0,0
-43.36798,99.57431,42.39294,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,8.250651,0.2847213,2.857113,14.45684,-0.4155884,-1.795319,11.12276,-0.5003662,-1.271515,0,0,0.09803922
-42.26929,95.71416,42.94753,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,13.256,-0.7909851,6.542,0.4520001,-0.0249939,-3.220001,9.231002,-1.042999,-3.48999,80.44946,-5.495117,-5.05011,86.14644,-153.3795,-153.3382,76.89348,-174.8412,-174.4531,0,0,0.9843137
-44.67252,104.4217,41.5597,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,19.1827,-0.2778625,6.011357,8.300812,-0.4699097,-3.253998,15.80658,-1.458862,-3.580322,81.66057,-6.312958,-5.844055,84.66763,-161.0574,-160.981,75.23992,-175.4776,-175.0774,0,0.09803922,1
-49.6994,128.1058,35.59085,3.197,1.739,-4.631989,-7.501007,0.6920001,-3.549988,39.78475,1.191348,4.303193,36.90667,-2.421234,-4.027985,39.41555,-3.318115,-4.460724,80.69305,-5.643677,-5.194031,85.85674,-155.3566,-155.3083,76.5611,-174.9816,-174.591,0,0.3647059,0.9686275
