Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure
-45.79358,147.0746,-29.14517,-20.25674,133.405,-16.3602,-7.033997,130.1719,-12.04581,44.20469,-86.99875,-5.516144,84.32867,111.4213,-163.1033,33.42089,92.1095,-178.2157,62.03444,-71.59763,9.976192,43.23797,92.98684,172.6739,-38.69879,100.6253,174.084,0.4509804,0.5019608,0.7529412
-45.13599,148.673,-29.60864,-17.22202,134.0606,-16.61414,-1.794617,130.2944,-12.43515,47.81535,-87.3291,-5.30777,75.68006,99.7198,-174.3232,20.27799,91.41721,-178.102,67.42851,-68.77496,12.58634,30.92576,94.7537,173.7592,-58.43564,104.2748,171.5561,0.5058824,0.5529412,0.8313726
-45.00348,163.6835,-33.07773,-43.18646,159.2924,-25.34039,-50.19522,163.3277,-24.77823,21.4573,-84.81247,-7.07312,40.22965,-86.44025,-4.699097,64.82071,-86.6377,-1.519531,28.59277,-78.80392,3.438306,64.59766,-71.97711,10.42699,75.64244,76.45835,158.2533,0,0.1882353,0.3254902
-38.82309,-163.9583,-37.90048,-37.2915,-168.1512,-30.63431,-44.01581,-163.6678,-30.05646,7.860277,-83.3067,-8.260773,8.311189,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,3.870365,-80.90533,1.197175,17.17001,-80.22141,3.063359,26.79637,-79.13483,4.699402,0,0,0.03529412
-36.14325,-152.7241,-38.39758,-34.647,-156.7938,-31.35895,-41.33383,-152.3859,-30.573,7.860285,-83.3067,-8.260773,8.3112,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716659,-81.08597,0.9562428,11.64044,-80.57205,2.747973,18.0558,-79.85117,4.172275,0,0,0
-32.76941,-139.2236,-38.112,-31.26495,-143.1319,-31.35864,-37.96136,-138.9343,-30.24316,7.860285,-83.30673,-8.260773,8.311195,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716648,-81.08597,0.9562415,11.64044,-80.57208,2.74797,18.05581,-79.85117,4.172276,0,0,0
-35.5542,-150.3382,-38.41742,-34.06058,-154.3801,-31.42886,-40.74472,-150.0007,-30.58969,7.860284,-83.3067,-8.260773,8.311199,-83.34735,-5.04657,17.59779,-83.11975,-1.5896,0.8716658,-81.08597,0.956247,11.64044,-80.57208,2.747965,18.0558,-79.85117,4.172274,0,0,0
-38.70886,-163.4621,-37.93631,-37.1796,-167.6499,-30.67978,-43.90143,-163.1676,-30.09445,7.860279,-83.3067,-8.260773,8.311188,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,0.8716617,-81.08597,0.9562433,11.64043,-80.57208,2.74797,18.05579,-79.85117,4.172268,0,0,0
-39.0506,-164.9525,-37.82492,-37.51407,-169.1555,-30.53955,-44.24362,-164.6704,-29.97614,7.860289,-83.3067,-8.260773,8.311194,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716677,-81.08597,0.9562456,11.64043,-80.57208,2.747964,18.0558,-79.85117,4.172272,0,0,0
-46.77884,147.6414,-29.21298,-41.42752,141.5757,-20.2424,-45.84479,143.1434,-17.81458,19.17233,-84.57382,-7.25647,34.79704,-85.90082,-4.644348,56.7793,-85.90515,-1.296143,29.57987,-78.69037,3.545966,66.54617,-70.98712,11.36324,72.61421,80.36281,162.0517,0.05882353,0.1568628,0.3372549
-44.46033,149.5489,-29.97479,-12.78763,133.5988,-16.74878,6.12036,128.9919,-12.91885,38.01568,-86.42746,-5.896729,80.09457,-96.95065,-12.35104,55.88499,93.45932,-178.1248,58.66644,-72.90686,8.78219,50.77596,91.53459,171.6002,-26.52713,99.24115,174.6979,0.5960785,0.4156863,0.7058824
-44.29813,148.948,-30.01358,-9.057159,131.8916,-16.61557,13.15819,126.4963,-13.24728,45.04137,-87.07538,-5.466949,82.36139,106.4417,-167.9697,30.37706,91.94724,-178.1974,66.10699,-69.57495,11.84186,33.97065,94.36372,173.5459,-53.57471,103.0869,172.4781,0.6862745,0.5137255,0.8117647
-45.9917,149.011,-29.52823,-30.09515,138.4402,-17.99982,-25.38879,136.8399,-13.72507,21.74321,-84.84198,-7.050568,40.91109,-86.50998,-4.710175,65.82953,-86.74527,-1.565063,33.50252,-78.20734,3.997559,74.25311,-64.68634,17.43678,60.08936,88.07379,169.3114,0.254902,0.1921569,0.3843137
-41.74982,-177.54,-36.44464,-40.12787,178.1469,-28.93692,-46.9465,-177.427,-28.48727,7.860285,-83.3067,-8.260773,8.311193,-83.34735,-5.04657,17.59778,-83.11975,-1.5896,0.8716568,-81.08597,0.9562468,11.64043,-80.57205,2.747968,18.0558,-79.85117,4.17228,0,0,0
-32.88281,-139.6747,-38.13705,-31.37955,-143.5885,-31.37421,-38.07465,-139.3821,-30.2706,7.860284,-83.3067,-8.260773,8.311193,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716643,-81.08597,0.9562421,11.64044,-80.57205,2.747967,18.05581,-79.85117,4.172274,0,0,0
-38.82309,-163.9583,-37.90048,-37.2915,-168.1512,-30.63431,-44.01581,-163.6678,-30.05646,7.860283,-83.3067,-8.260773,8.311198,-83.34735,-5.0466,17.59778,-83.11975,-1.5896,3.53657,-80.92609,1.170236,16.55213,-80.26306,3.026553,25.81868,-79.22305,4.632753,0,0,0.03137255
