Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-46.59222,156.6867,-29.81396,-36.53497,148.3271,-19.40991,-36.88644,148.1565,-15.78903,8.056225,-77.61551,-8.80191,8.506721,-77.66046,-5.58847,17.79502,-77.52448,-2.151642,0.8716657,-81.08597,0.9562504,11.64043,-80.57208,2.747968,18.0558,-79.85117,4.172276,0.145098,0,0,0.9019608
-46.65808,156.25,-29.70425,-36.58917,147.9078,-19.30521,-36.9404,147.7362,-15.68362,8.056217,-77.61551,-8.80191,8.506713,-77.66046,-5.58847,17.795,-77.52448,-2.151642,0.871654,-81.08597,0.9562442,11.64043,-80.57205,2.747973,18.0558,-79.85117,4.172278,0.145098,0,0,0.9058824
-46.65808,156.25,-29.70425,-36.5892,147.9078,-19.30521,-36.9404,147.7362,-15.68362,8.056225,-77.61551,-8.80188,8.506722,-77.66046,-5.58847,17.79501,-77.52448,-2.151642,0.8716655,-81.08597,0.9562472,11.64043,-80.57208,2.747962,18.0558,-79.85117,4.172276,0.145098,0,0,0.9058824
-46.53659,157.1579,-29.93311,-36.70447,148.8718,-19.57687,-37.23938,148.7678,-15.99582,8.056223,-77.61551,-8.80188,8.506724,-77.66049,-5.58847,17.79502,-77.52448,-2.151642,0.871663,-81.08597,0.9562499,11.64043,-80.57205,2.747961,18.0558,-79.85117,4.172281,0.145098,0,0,0.9019608
-48.01624,145.9099,-26.92279,-39.62476,138.8196,-17.20197,-41.64536,139.1647,-13.91125,8.056221,-77.61551,-8.80191,8.506717,-77.66049,-5.58847,17.79501,-77.52448,-2.151642,0.8716644,-81.08597,0.9562432,11.64043,-80.57208,2.747964,18.0558,-79.85117,4.172276,0.1098039,0,0,1
-47.20569,151.1098,-28.36691,-32.168,141.1541,-17.02429,-28.32816,139.8439,-12.83652,15.37497,-78.52612,-8.149475,25.56376,-79.49576,-5.27002,43.03056,-79.61667,-1.968018,34.15193,-78.12207,4.076382,75.51108,-63.00677,19.0766,57.97151,88.79858,169.9564,0.2352941,0.1019608,0.3921569,0.9490196
-35.36462,172.1033,-33.88715,1.450668,151.8761,-22.23154,25.69143,142.7491,-20.85516,34.20718,-80.65707,-6.815735,70.6063,-87.11838,-8.986847,70.06438,102.0875,-175.9401,64.22613,-70.58176,10.91011,38.27176,93.76602,173.1884,-46.68384,101.7883,173.3895,0.7686275,0.3607843,0.7843137,0.5803922
-32.22049,172.4358,-35.63422,9.434283,148.5302,-25.00735,38.31176,134.1142,-27.47467,49.62159,-82.35849,-6.062744,71.44972,105.3051,-174.2034,14.11455,97.00647,-177.4515,77.90833,-56.49506,24.32601,5.825579,97.40704,174.6921,-80.23425,-106.7643,24.66136,0.9490196,0.5764706,1,0.5137255
-30.84122,173.7321,-36.11615,11.1699,149.0894,-26.02042,40.34919,133.2581,-29.58109,54.78323,-82.96729,-5.896667,58.90031,101.7798,-177.0113,-4.69519,95.77806,-177.0852,77.90826,-56.49506,24.32601,5.825581,97.40703,174.692,-80.23425,-106.7642,24.66132,0.972549,0.654902,1,0.4784314
-34.61929,169.9969,-34.7627,6.273827,147.3577,-23.29901,34.42526,135.1769,-24.09958,55.85594,-83.09909,-5.869598,56.29139,101.3241,-177.3202,-8.601501,95.50343,-176.9726,77.90829,-56.49503,24.32604,5.825589,97.40704,174.6921,-80.23431,-106.7643,24.66134,0.9058824,0.6666667,1,0.5764706
-46.67474,150.0087,-28.29138,-12.99997,134.3992,-14.86395,7.519464,130.1196,-11.09464,49.62159,-82.35849,-6.062744,71.44973,105.3052,-174.2034,14.11456,97.00645,-177.4515,77.90831,-56.495,24.32605,5.825584,97.40703,174.6921,-80.23431,-106.7643,24.66135,0.627451,0.5843138,1,0.9529412
-42.32071,159.5037,-31.35712,-5.147675,140.985,-18.07227,19.07504,134.2964,-15.33273,64.49536,-84.27594,-5.787476,35.35596,98.82599,-178.6448,-39.9567,92.60093,-175.257,77.90829,-56.49506,24.326,5.825583,97.40702,174.692,-80.23425,-106.7643,24.66135,0.7490196,0.7960784,1,0.7960784
-38.62524,165.2015,-33.15912,0.5706436,144.6683,-20.56418,26.96189,135.6322,-19.20166,66.02257,-84.51639,-5.808411,31.6766,98.49791,-178.7643,-45.4679,91.82773,-174.6796,77.90831,-56.49503,24.32601,5.825588,97.40704,174.6921,-80.23431,-106.7643,24.66138,0.827451,0.8196079,1,0.6862745
-38.34094,165.5431,-33.28842,1.057153,144.8301,-20.76044,27.65627,135.5597,-19.55133,66.78082,-84.64117,-5.824432,29.85283,98.34181,-178.8164,-48.19891,91.38642,-174.3345,77.90833,-56.49503,24.32602,5.825578,97.40704,174.6921,-80.23425,-106.7643,24.66138,0.8352941,0.8313726,1,0.6784314
