Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-47.50464,140.4221,-27.29874,-32.5463,130.841,-16.15903,-28.86951,129.6359,-12.0163,42.80601,-86.87042,-5.599548,87.33759,135.698,-139.0184,38.50636,92.38635,-178.2337,24.62284,-79.23199,3.025621,56.77958,-74.81534,7.791309,84.7688,14.08563,96.28185,0.2392157,0.4823529,0.282353,1
-47.50464,140.4221,-27.29877,-28.2887,129.4439,-15.45114,-20.88675,127.5305,-11.11884,43.08616,-86.89612,-5.582733,86.80035,127.3251,-147.3526,37.4881,92.33018,-178.2314,24.95484,-79.19785,3.058999,57.43143,-74.62839,7.962148,84.54231,25.23826,107.4024,0.3137255,0.4862745,0.282353,1
-47.50467,140.4221,-27.29877,-24.60336,128.3257,-14.95285,-13.94431,125.886,-10.60297,44.20469,-86.99875,-5.516144,84.32874,111.4214,-163.1032,33.42088,92.1095,-178.2157,25.61829,-79.12875,3.126263,58.73535,-74.23248,8.32541,83.56599,43.59859,125.6978,0.3960784,0.5019608,0.2901961,0.9960784
-46.99945,142.3833,-27.87909,-19.9679,128.8402,-15.02509,-5.551575,125.7017,-10.77753,44.48381,-87.02432,-5.499664,83.67789,109.4225,-165.0642,32.40562,92.05515,-178.2102,26.9426,-78.98721,3.263019,61.34262,-73.33871,9.152237,80.4182,64.71223,146.6787,0.4784314,0.5058824,0.3058824,0.9764706
-45.79138,145.7813,-28.94299,-14.03455,130.358,-15.66956,4.809262,126.1435,-11.76794,43.92538,-86.97314,-5.532684,84.97138,113.9285,-160.6341,34.4368,92.16414,-178.2206,26.9426,-78.98724,3.263011,61.34266,-73.33868,9.152247,80.41824,64.71223,146.6787,0.5921569,0.4980392,0.3058824,0.9294118
-45.09775,147.2123,-29.45081,-10.9256,130.806,-16.05569,10.21556,125.9198,-12.4621,43.3661,-86.92181,-5.565979,86.21555,121.4402,-153.1991,36.47043,92.27446,-178.2285,26.61184,-79.02301,3.228544,60.69096,-73.57629,8.931585,81.29383,60.88499,142.885,0.682353,0.4901961,0.3019608,0.8862745
-41.1239,154.9155,-31.85922,-3.577362,135.9326,-18.7998,21.07298,128.6967,-16.35675,42.52569,-86.84467,-5.616486,87.79221,147.8723,-126.883,39.52514,92.44299,-178.2353,26.28088,-79.05853,3.194275,60.03918,-73.80408,8.720664,82.12217,56.23643,138.2698,0.7647059,0.4784314,0.2980392,0.7764706
-37.9169,159.6611,-33.31146,1.319782,138.979,-20.92633,27.76638,129.6531,-19.7612,42.24513,-86.81882,-5.633453,88.10215,165.0791,-109.7153,40.54447,92.50013,-178.2361,26.28088,-79.05853,3.194275,60.03919,-73.80408,8.720656,82.12214,56.23643,138.2697,0.8392157,0.4745098,0.2980392,0.6745098
-35.36093,162.7791,-34.31641,5.017406,140.7593,-22.64627,32.64392,129.4611,-22.83325,41.40236,-86.74121,-5.684814,87.67056,-137.6151,-52.52744,43.6054,92.67509,-178.2338,26.28088,-79.05853,3.194269,60.03917,-73.80408,8.720646,82.12222,56.23645,138.2698,0.8823529,0.4627451,0.2980392,0.6117647
-33.45242,164.8577,-35.0101,7.616228,141.8491,-23.96384,35.9258,128.9008,-25.35321,40.55796,-86.6633,-5.736816,86.03065,-113.7827,-28.81458,46.67039,92.85646,-178.2233,25.94969,-79.09378,3.160173,59.38728,-74.02261,8.518776,82.88699,50.55288,132.6193,0.9176471,0.4509804,0.2941177,0.5607843
-33.00577,165.3211,-35.16629,8.203363,142.083,-24.27637,36.64629,128.7276,-25.97025,39.99414,-86.61115,-5.77182,84.76673,-106.85,-21.96243,48.7158,92.98177,-178.211,26.61185,-79.02301,3.228538,60.69096,-73.57629,8.931594,81.29383,60.88498,142.885,0.9254902,0.4431373,0.3019608,0.5490196
-32.40012,165.9091,-35.38599,9.022649,142.3349,-24.71454,37.66438,128.3774,-26.86322,39.71197,-86.58502,-5.789459,84.11534,-104.5047,-19.65768,49.73903,93.04597,-178.2031,26.61185,-79.02301,3.228548,60.69096,-73.57629,8.931589,81.29385,60.88498,142.885,0.9411765,0.4392157,0.3019608,0.5254902
-31.19272,167.105,-35.78854,10.53736,142.9188,-25.57245,39.44603,127.7969,-28.61716,38.01569,-86.42746,-5.896729,80.09452,-96.95065,-12.35101,55.88501,93.45931,-178.1248,26.28089,-79.05853,3.194277,60.03917,-73.80405,8.720664,82.12217,56.23639,138.2697,0.9568627,0.4156863,0.2980392,0.5019608
-31.03339,167.2299,-35.854,10.76759,142.9353,-25.70074,39.73864,127.6127,-28.90048,37.73243,-86.40103,-5.914856,79.41472,-96.23724,-11.6795,56.91024,93.53412,-178.1055,25.61828,-79.12875,3.126272,58.73534,-74.23248,8.325426,83.56593,43.59847,125.6977,0.9607843,0.4117647,0.2901961,0.4941176
-30.87372,167.3542,-35.91986,10.99717,142.9504,-25.83017,40.02909,127.4243,-29.1875,37.44905,-86.3746,-5.933075,78.73341,-95.60596,-11.09036,57.93569,93.61111,-178.0839,25.61828,-79.12875,3.126265,58.73536,-74.23248,8.325419,83.56599,43.59851,125.6977,0.9647059,0.4078431,0.2901961,0.4901961
-29.96793,168.2559,-36.18942,12.04219,143.4361,-26.46268,41.16804,127.0493,-30.5004,36.88187,-86.32159,-5.969696,77.36716,-94.53662,-10.1059,59.98714,93.77241,-178.0332,25.6183,-79.12875,3.126271,58.73534,-74.23248,8.32542,83.56599,43.59847,125.6977,0.9764706,0.4,0.2901961,0.4705882
-29.64374,168.4941,-36.32385,12.49605,143.4477,-26.73355,41.72681,126.6212,-31.11688,36.03012,-86.2417,-6.025208,75.31091,-93.28217,-8.980286,63.06542,94.03696,-177.934,25.61829,-79.12875,3.12627,58.73534,-74.23248,8.325409,83.56599,43.59855,125.6977,0.9843137,0.3882353,0.2862745,0.4627451
-29.31805,168.7301,-36.46017,12.94707,143.4538,-27.00925,42.27606,126.1754,-31.74921,36.0301,-86.2417,-6.025208,75.31091,-93.28217,-8.980255,63.06541,94.03696,-177.934,25.28669,-79.16342,3.09254,58.08338,-74.43427,8.140032,84.12951,35.17331,117.3051,0.9921569,0.3882353,0.2862745,0.4509804
-29.17554,168.9038,-36.48145,13.06802,143.5991,-27.08896,42.36839,126.2384,-31.89822,36.03012,-86.2417,-6.025208,75.31094,-93.2822,-8.980286,63.06542,94.03696,-177.934,25.28669,-79.16345,3.092546,58.08338,-74.43427,8.14002,84.12957,35.17332,117.3051,0.9921569,0.3882353,0.2862745,0.4509804
-29.64374,168.4941,-36.32385,12.49605,143.4477,-26.73355,41.72681,126.6212,-31.11688,36.31416,-86.26837,-6.006622,75.99709,-93.66281,-9.317749,62.03921,93.94528,-177.9706,25.28668,-79.16342,3.092542,58.08338,-74.43427,8.140033,84.12955,35.1733,117.3051,0.9843137,0.3921569,0.2862745,0.4627451
-30.10947,168.0786,-36.16681,11.92191,143.2866,-26.38382,41.07435,126.9776,-30.35721,37.16552,-86.34811,-5.951355,78.05082,-95.04269,-10.56943,58.96132,93.69046,-178.0599,25.9497,-79.09378,3.160177,59.38726,-74.02258,8.51878,82.88705,50.55296,132.6193,0.9764706,0.4039216,0.2941177,0.4745098
-30.27078,167.9579,-36.1001,11.69407,143.2777,-26.25043,40.79116,127.183,-30.05618,37.73243,-86.40103,-5.914886,79.41477,-96.23724,-11.67953,56.91023,93.53413,-178.1055,25.94969,-79.09378,3.160175,59.38726,-74.02261,8.518764,82.88705,50.55288,132.6192,0.972549,0.4117647,0.2941177,0.4784314
-30.27078,167.9579,-36.1001,11.69408,143.2778,-26.25043,40.79116,127.183,-30.05621,37.44904,-86.3746,-5.933075,78.73341,-95.6059,-11.09033,57.93569,93.61111,-178.0839,26.28089,-79.05853,3.194267,60.03917,-73.80408,8.72065,82.12222,56.23643,138.2698,0.972549,0.4078431,0.2980392,0.4784314
-29.94778,168.1989,-36.23401,12.14907,143.2941,-26.51837,41.35524,126.7678,-30.66208,37.44905,-86.3746,-5.933075,78.73345,-95.60593,-11.09033,57.9357,93.6111,-178.0839,26.28088,-79.05856,3.194266,60.03918,-73.80408,8.720649,82.12217,56.23643,138.2698,0.9764706,0.4078431,0.2980392,0.4745098
-29.94778,168.1989,-36.23401,12.14906,143.2941,-26.51837,41.35525,126.7678,-30.66208,35.74593,-86.215,-6.043854,74.62414,-92.93246,-8.67395,64.09172,94.13262,-177.8934,25.28667,-79.16345,3.092538,58.08338,-74.43427,8.140028,84.12957,35.17326,117.305,0.9803922,0.3843137,0.2862745,0.4705882
-34.62476,163.5671,-34.60007,6.086051,141.1349,-23.16168,34.04461,129.1782,-23.82239,32.89829,-85.94534,-6.234344,67.73521,-90.50473,-6.692535,74.35464,95.48489,-177.091,22.62683,-79.4314,2.828889,52.87057,-75.80676,6.893396,82.26056,-40.59546,41.78894,0.8980392,0.345098,0.254902,0.5921569
-38.47,158.9261,-33.07849,0.4799203,138.54,-20.5585,26.62618,129.61,-19.13614,31.47108,-85.80865,-6.332367,64.28383,-89.7067,-6.126831,79.47999,96.85007,-176.0017,22.29357,-79.46375,2.796655,52.2197,-75.95328,6.761971,81.4493,-45.36899,37.04601,0.8156863,0.3254902,0.2509804,0.7019608
-40.75952,155.6355,-32.03006,-3.274963,136.5551,-19.04105,21.34232,129.1972,-16.65414,31.47108,-85.80865,-6.332367,64.28381,-89.7067,-6.126862,79.48,96.8501,-176.0016,22.62683,-79.4314,2.828878,52.87057,-75.80676,6.893388,82.26061,-40.59549,41.78889,0.7647059,0.3254902,0.254902,0.7647059
-41.99103,154.0206,-31.39212,-6.420013,136.0114,-18.2533,16.30792,129.7187,-15.24036,30.32805,-85.69839,-6.41217,61.52232,-89.17508,-5.785828,83.56956,99.26959,-173.8041,22.29357,-79.46375,2.79665,52.21971,-75.95331,6.76196,81.4493,-45.36899,37.04601,0.682353,0.3058824,0.2509804,0.8078431
-43.85278,151.375,-30.40494,-12.77478,135.383,-17.25818,5.647641,130.7171,-13.40695,28.32582,-85.50336,-6.554749,56.69276,-88.39557,-5.35083,88.99303,-126.2752,-39.74127,22.29356,-79.46375,2.796645,52.2197,-75.95328,6.761951,81.4493,-45.36902,37.04597,0.572549,0.2784314,0.2509804,0.8627451
-44.48544,150.3231,-30.05579,-15.47537,135.1568,-17.00156,1.007624,131.0408,-12.92444,24.60443,-85.13358,-6.829742,47.75022,-87.2486,-4.884277,75.95487,-88.30334,-2.519257,21.62655,-79.52768,2.732645,50.91865,-76.23264,6.512313,79.69577,-52.55173,29.92388,0.5254902,0.2156863,0.2392157,0.8823529
-45.51984,148.0653,-29.39667,-20.03253,134.3023,-16.61124,-6.823547,131.0129,-12.29565,20.88567,-84.75323,-7.118439,38.86826,-86.30255,-4.679932,62.80539,-86.43585,-1.442749,20.62497,-79.62177,2.637716,48.96915,-76.62064,6.167737,76.87547,-59.57745,22.9876,0.4196078,0.1764706,0.2313726,0.9215686
-46.22705,147.2478,-29.10339,-28.46368,136.1371,-17.29501,-22.15997,134.2237,-12.94333,20.59994,-84.72348,-7.141235,38.18836,-86.23447,-4.671753,61.79893,-86.34048,-1.410461,20.95897,-79.59064,2.669221,49.61869,-76.49515,6.278882,77.83289,-57.59702,24.93841,0.2745098,0.1764706,0.2352941,0.9333333
-46.40259,147.1753,-29.0752,-31.66666,137.1633,-17.79102,-28.02048,135.8499,-13.61011,20.59995,-84.72351,-7.141235,38.18837,-86.23447,-4.671783,61.79894,-86.34048,-1.410492,21.29284,-79.5593,2.700853,50.26853,-76.36591,6.393677,78.77456,-55.28302,27.22262,0.2,0.1764706,0.2392157,0.9372549
-46.5047,148.0881,-29.30609,-36.61124,139.9426,-19.05026,-37.14536,139.8326,-15.46573,20.02868,-84.66382,-7.187073,36.83015,-86.09976,-4.658203,59.7885,-86.15897,-1.356232,20.95897,-79.59064,2.669209,49.61869,-76.49515,6.27889,77.83292,-57.59702,24.93842,0.1333333,0.1647059,0.2352941,0.9294118
-46.65634,150.337,-29.92813,-44.66699,145.9758,-22.12714,-51.82547,149.508,-21.26309,17.74676,-84.42233,-7.373901,31.42056,-85.57581,-4.637299,51.78234,-85.5166,-1.238922,20.95896,-79.59064,2.669211,49.61869,-76.49515,6.278896,77.83289,-57.59698,24.93842,0,0.1333333,0.2352941,0.9176471
-46.39868,152.7658,-30.53876,-44.44211,148.3932,-22.74252,-51.57361,152.03,-21.94656,14.33628,-84.05115,-7.664886,23.3857,-84.81491,-4.692627,39.89415,-84.67514,-1.2435,19.28772,-79.74384,2.513103,46.37442,-77.08777,5.756335,72.94569,-65.24731,17.43428,0,0.09019608,0.2156863,0.8980392
-46.11908,155.2166,-31.13928,-44.19498,150.8352,-23.35098,-51.29898,154.5719,-22.61798,12.07339,-83.79736,-7.866272,18.08999,-84.31128,-4.780273,32.06052,-84.14014,-1.321289,16.60829,-79.97702,2.269997,41.20433,-77.88354,5.064427,64.88195,-71.21454,11.69153,0,0.05098039,0.172549,0.8705882
-45.49356,160.1752,-32.30176,-43.6333,155.7843,-24.53894,-50.68137,159.7049,-23.91495,9.540372,-83.50537,-8.100281,12.19775,-83.73782,-4.924225,23.34564,-83.53461,-1.463989,10.23276,-80.4762,1.719634,29.06249,-79.27026,3.880824,45.65003,-76.79327,6.603691,0,0.01176471,0.1019608,0.8313726
-44.78043,165.1946,-33.39914,-42.98151,160.8049,-25.67465,-49.97351,164.8857,-25.1351,9.259869,-83.47247,-8.12677,11.5476,-83.67334,-4.943146,22.38412,-83.46628,-1.483215,7.885254,-80.64209,1.524521,24.64877,-79.65961,3.549424,38.64635,-77.83997,5.724087,0,0.01960784,0.08235294,0.8
-43.98212,170.2557,-34.41574,-42.24106,165.8775,-26.74194,-49.17819,170.0926,-26.26065,12.0734,-83.79736,-7.866272,18.08999,-84.31128,-4.780273,32.06051,-84.14014,-1.321289,8.220438,-80.61893,1.552187,25.2771,-79.60706,3.594276,39.64307,-77.70697,5.833623,0,0.07843138,0.08627451,0.7490196
