Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-36.61426,-154.6484,-38.35956,-35.11465,-158.7402,-31.28088,-41.80505,-154.3124,-30.53577,16.20018,-84.22797,-7.416504,27.78602,-85.01382,-4.690918,46.71135,-84.96606,-1.171661,3.145158,-80.95215,1.036862,16.34842,-80.29779,2.874141,25.50894,-79.22406,4.519533,0,0.1254902,0.03137255,0.4862745
-37.43552,-158.0476,-38.24454,-35.92719,-162.1775,-31.09601,-42.6268,-157.7213,-30.41818,16.7323,-84.2836,-7.366272,29.04312,-85.11826,-4.682465,48.58829,-85.08679,-1.168243,3.145161,-80.95215,1.036866,16.34842,-80.29779,2.874144,25.50894,-79.22406,4.519536,0,0.1333333,0.03137255,0.5137255
-36.26105,-153.2039,-38.38992,-34.76407,-157.2791,-31.34128,-41.45169,-152.866,-30.56567,17.26557,-84.33902,-7.316315,30.3046,-85.22321,-4.675903,50.47147,-85.20987,-1.168732,4.870267,-80.84799,1.101993,19.9236,-80.0744,2.98827,31.1779,-78.67969,4.86856,0,0.1490196,0.0627451,0.4666667
-34.84909,-147.5056,-38.40167,-33.35626,-151.5139,-31.47293,-40.03967,-147.1734,-30.56738,19.14092,-84.53131,-7.143799,34.75334,-85.59616,-4.668518,57.11067,-85.66833,-1.209412,6.320517,-80.75851,1.159479,22.93085,-79.87433,3.098222,35.95157,-78.15817,5.235201,0,0.1686275,0.07450981,0.427451
-33.91602,-143.7832,-38.31622,-32.42059,-147.7469,-31.46637,-39.10706,-143.4655,-30.46899,21.02934,-84.72113,-6.974792,39.25207,-85.98203,-4.688629,63.82118,-86.20227,-1.341064,8.369521,-80.62885,1.245199,27.18206,-79.56885,3.278738,42.70616,-77.28171,5.904991,0,0.1960784,0.1019608,0.3960784
-33.56934,-142.4042,-38.26599,-32.07184,-146.3512,-31.44537,-38.76059,-142.0939,-30.41287,24.29436,-85.04114,-6.693176,47.07152,-86.69531,-4.805084,75.47639,-87.64151,-2.119934,12.5291,-80.35233,1.436554,35.81921,-78.84021,3.760232,56.43401,-74.59821,8.202004,0,0.2431373,0.1568628,0.3843137
-33.11053,-140.5802,-38.18414,-31.60941,-144.5051,-31.40213,-38.30215,-140.2813,-30.32236,27.03885,-85.30286,-6.466278,53.68048,-87.37729,-5.015289,85.30498,-92.54309,-6.492645,20.44441,-79.76428,1.875528,52.26471,-76.72418,5.418952,81.72446,-46.71158,35.4192,0,0.282353,0.2588235,0.3686275
-32.43115,-137.8769,-38.03091,-30.92282,-141.7687,-31.30594,-37.62341,-137.5982,-30.15457,31.46661,-85.71347,-6.11795,64.39933,-88.83319,-5.756989,78.6787,96.26406,-176.8641,28.86365,-79.01474,2.481667,69.68367,-71.20026,10.45625,67.81926,85.61795,167.0374,0,0.3490196,0.3686275,0.345098
-32.54266,-143.0036,-37.871,-28.76837,-148.6215,-30.35031,-33.46478,-145.9257,-28.1748,35.08943,-86.04059,-5.848358,73.20339,-90.90778,-7.281891,65.55858,94.29348,-178.1756,35.18001,-78.33011,3.066799,82.2141,-51.60303,29.67535,46.70835,92.22929,173.0456,0.05882353,0.3960784,0.4431373,0.3647059
-32.93549,-156.5803,-37.42899,-22.57544,-166.5792,-28.12003,-21.33243,-167.0579,-24.22702,42.09132,-86.65738,-5.364929,88.52303,167.8017,-107.5735,40.09551,92.68363,-178.4836,47.5267,-76.48474,4.732913,70.40371,86.59287,167.06,4.991746,96.52835,175.6635,0.2705882,0.4980392,0.6078432,0.4392157
-34.20837,-169.0198,-37.01218,-18.27988,177.8165,-26.45956,-11.99213,175.3689,-22.03149,45.17564,-86.92554,-5.167664,81.92188,103.0659,-171.8877,28.861,92.12678,-178.4268,54.10082,-75.02917,6.099254,56.76105,91.71326,171.6844,-17.24393,98.16348,175.7505,0.3764706,0.5529412,0.7137255,0.4941176
-34.19351,-174.5217,-36.7139,-14.10922,170.2816,-25.66055,-4.046783,166.5149,-21.24628,47.41626,-87.12006,-5.030609,76.4828,98.73733,-175.9145,20.70074,91.73109,-178.3482,63.56913,-71.71515,9.289827,36.88696,94.77911,173.9067,-49.22015,101.5571,174.1428,0.4627451,0.5764706,0.8235294,0.5176471
