Joint1Tx, Joint1Ty, Joint1Tz, Joint2Tx, Joint2Ty, Joint2Tz, Joint3Tx, Joint3Ty, Joint3Tz, Joint1Ix, Joint1Iy, Joint1Iz, Joint2Ix, Joint2Iy, Joint2Iz, Joint3Ix, Joint3Iy, Joint3Iz, Joint1Mx, Joint1My, Joint1Mz, Joint2Mx, Joint2My, Joint2Mz, Joint3Mx, Joint3My, Joint3Mz,ThumbClosure, IndexClosure, MiddleClosure, ThumbAbduction
-34.77585,163.4222,-34.53769,5.848009,141.0871,-23.0509,33.72084,129.2842,-23.60001,73.79402,-89.93909,-4.259064,12.94192,91.12536,-179.7024,-73.57129,77.70815,-167.3929,77.90831,-56.49506,24.32601,5.825582,97.40703,174.6921,-80.23431,-106.7643,24.66135,0.8941177,0.945098,1,0.5960785
-35.07684,163.1296,-34.41364,5.370448,140.9868,-22.83197,33.06854,129.4852,-23.16373,73.55344,-89.90808,-4.261017,13.51253,91.16121,-179.6969,-72.73044,78.36593,-168.0254,77.90826,-56.49503,24.32602,5.825592,97.40703,174.6921,-80.23434,-106.7643,24.66137,0.8862745,0.9411765,1,0.6039216
-37.06866,160.7043,-33.66571,2.643389,139.5417,-21.50058,29.58045,129.5498,-20.78149,69.89381,-89.47015,-4.32547,22.22666,91.72327,-179.5895,-59.75894,83.99176,-173.2654,77.90831,-56.49506,24.32601,5.825583,97.40703,174.6921,-80.23428,-106.7642,24.66132,0.8509804,0.8823529,1,0.6588235
-40.60489,155.7494,-32.11642,-2.739197,136.4761,-19.14639,22.24964,128.9166,-16.88837,61.25799,-88.57971,-4.631348,43.00418,93.29084,-179.072,-28.63354,88.38599,-176.7325,74.21749,-62.67511,18.35991,14.92273,96.51869,174.4897,-83.00238,133.8154,143.3449,0.7647059,0.7450981,0.9215686,0.772549
-41.51068,154.9947,-31.63391,-5.873749,136.8103,-18.57059,16.95215,130.3325,-15.64221,55.4406,-88.02972,-4.902618,57.12507,94.83323,-178.2414,-7.49585,89.88049,-177.5623,65.84043,-69.72644,11.70129,34.58242,94.28233,173.4993,-52.59619,102.8793,172.6315,0.7098039,0.6627451,0.8078431,0.7843137
-42.67514,154.5762,-31.12082,-11.95068,138.328,-18.11697,6.250134,133.4209,-14.31271,48.36724,-87.37952,-5.276825,74.34052,99.03928,-174.9316,18.26785,91.31187,-178.077,54.32836,-74.26685,7.552729,60.31097,88.86031,169.3695,-11.03311,97.80657,175.0065,0.5568628,0.5490196,0.627451,0.8117647
-43.48883,156.3826,-31.19272,-21.10306,142.9417,-18.78018,-10.45441,139.776,-14.37402,38.29878,-86.45383,-5.878693,80.77256,-97.76392,-13.12259,54.85997,93.38645,-178.1421,36.41398,-77.81201,4.361333,79.76965,-53.98337,27.95685,50.52807,90.77779,171.6445,0.3921569,0.4196078,0.4196078,0.8196079
-43.27628,162.3395,-32.32739,-28.8038,151.6012,-21.02625,-25.05167,150.036,-16.78967,31.75666,-85.83612,-6.312622,64.97423,-89.85278,-6.225922,78.45564,96.49479,-176.3017,25.94969,-79.09378,3.160176,59.38726,-74.02258,8.518783,82.88702,50.55289,132.6192,0.2352941,0.3294118,0.2941177,0.7843137
-43.10318,175.3396,-35.33731,-41.41553,170.9825,-27.72562,-48.30038,175.3047,-27.27588,11.79125,-83.76526,-7.891876,17.43177,-84.24808,-4.793915,31.08692,-84.07339,-1.334381,7.885265,-80.64209,1.524522,24.64877,-79.65961,3.549426,38.64636,-77.83997,5.724087,0,0.05490196,0.08235294,0.7215686
-41.85086,-178.0478,-36.37314,-40.22458,177.6355,-28.85742,-47.04761,-177.9442,-28.40939,7.860282,-83.3067,-8.260773,8.311194,-83.34735,-5.0466,17.59779,-83.11975,-1.5896,0.8716677,-81.08597,0.9562461,11.64043,-80.57208,2.747968,18.0558,-79.85117,4.172276,0,0,0,0.6705883
